Frequency,Nominal,Min,Max
14412.412345810739,39703.261852515774,39009.44557776386,40351.84204293307
14493.741704614658,39672.988540562656,38971.382742753165,40327.69862040121
14575.53000564454,39641.901977221765,38932.228850733125,40302.94722871615
14657.779838715054,39609.973942198274,38891.943613892625,40277.568077494696
14740.493808255222,39577.17501842727,38850.484940317554,40251.540584449314
14823.674533390873,39543.47453298164,38807.80884095593,40224.843338198036
14907.324648027588,39508.84049471396,38763.86933130553,40197.454059096905
14991.446800934098,39473.23952843826,38718.618327512246,40169.34955797945
15076.043655826155,39436.63680544542,38672.00553654984,40140.50569268093
15161.117891450884,39398.995970133736,38623.97834013419,40110.89732221706
15246.672201671598,39360.2790625231,38574.48167200637,40080.498258479245
15332.709295553104,39320.44643640703,38523.45788819959,40049.281215299896
15419.231897447486,39279.45667288312,38470.84662988655,40017.21775473163
15506.242747080363,39237.26648898611,38416.584678382766,39984.278230375814
15593.744599637652,39193.83064113285,38360.605801862905,39950.4317275845
15681.740225852805,39149.10182307119,38302.840593326706,39915.64600034978
15770.232412094547,39103.030558007755,38243.21629933227,39879.88740468301
15859.2239604551,39055.56508457138,38181.656638995395,39843.1208282744
15948.717688838919,39006.651236250764,38118.08161273685,39805.30961621044
16038.716431051915,38956.23231392491,38052.40730024265,39766.41549251387
16129.223036891188,38904.248951086665,37984.5456470897,39726.39847725613
16220.240372235265,38850.63897133817,37914.404239476986,39685.216798977985
16311.771319134852,38795.33723771798,37841.88606649634,39642.82680213795
16403.81877590409,38738.27549339908,37766.88926937337,39599.18284929249
16496.385657212322,38679.382193277095,37689.306877113275,39554.23721769429
16589.474894176405,38618.5823259482,37609.026527995906,39507.93998997786
16683.089434453508,38555.7972255586,37525.93017638529,39460.238938582566
16777.23224233445,38490.94437298918,37439.89378434885,39411.07940354535
16871.906298837566,38423.937185824296,37350.78699762559,39360.40416327435
16967.11460180311,38354.68479654062,37258.47280554412,39308.15329789592
17062.860165988164,38283.091818341825,37162.80718457027,39254.26404474649
17159.146023162113,38209.05809806082,37063.63872526858,39198.67064555998
17255.975222202636,38132.47845554961,36960.80824259388,39141.3041848814
17353.35082919226,38053.24240898504,36854.14836959422,39082.09241921641
17451.275927515435,37971.23388553269,36743.483134812464,39020.959596407214
17549.75361795618,37886.330916836785,36628.62752392661,38957.8262647057
17648.787018796258,37798.405318841666,36509.387026477845,38892.609070997336
17748.37926591392,37707.32235550296,36385.557168910906,38825.220547614335
17848.533512883212,37612.940386017595,36256.92303560404,38755.568887162284
17949.252931073814,37515.11049529528,36123.25878011125,38683.55770477549
18050.540709751473,37413.67610751272,35984.32712949161,38609.085787211334
18152.400056178987,37308.47258274348,35839.878885378195,38532.04682819268
18254.834195717773,37199.326796844325,35689.65242636456,38452.32914941618
18357.846371929976,37086.05670501221,35533.373217382585,38369.8154066587
18461.439846681198,36968.470889711665,35370.753333039866,38284.382280440506
18565.617900243768,36846.368094021185,35201.49100341093,38195.90015074348
18670.38383140062,36719.53674186866,35025.27019256851,38104.2327553363
18775.74095754975,36587.75444713531,34841.76022224094,38009.236831332855
18881.692614809257,36450.78751421823,34650.61545543587,37910.761739705886
18988.242158122976,36308.39043337153,34451.47505772973,37808.649072601416
19095.39296136672,36160.30537501656,34243.96285724601,37702.73224345599
19203.148417455115,36006.261688244376,34027.68732819543,37592.83606011313
19311.511938449024,35845.975409956365,33802.24172729977,37478.776281376915
19420.4869556636,35679.14879253272,33567.20441754235,37360.359157736115
19530.076919776937,35505.46985961691,33322.139419566854,37237.38095735329
19640.28530093933,35324.61200159907,33066.59723776448,37109.62747884991
19751.115588883164,35136.233624715256,32800.11601574097,36976.87355294583
19862.571293033405,34939.9778704058,32522.22308452803,36838.88253564387
