Frequency,Nominal,Min,Max
14412.412345810739,-9.905391643460641,-10.983652825610429,-8.903769438447666
14493.741704614658,-10.003113772695954,-11.098851374470028,-8.985996904680482
14575.53000564454,-10.102385795043604,-11.216005466698965,-9.069425131866328
14657.779838715054,-10.20324328618684,-11.33516157995195,-9.154080068285037
14740.493808255222,-10.305722798418493,-11.456367411301866,-9.239988364248577
14823.674533390873,-10.409861886245434,-11.57967189761133,-9.32717739267656
14907.324648027588,-10.51569913212917,-11.705125234213366,-9.415675270173226
14991.446800934098,-10.623274172276863,-11.832778891550344,-9.505510878598978
15076.043655826155,-10.732627722382928,-11.962685629371704,-9.596713887126715
15161.117891450884,-10.84380160320532,-12.094899508036383,-9.689314774769304
15246.672201671598,-10.956838765842955,-12.229475896404052,-9.783344853360582
15332.709295553104,-11.071783316560031,-12.366471475729496,-9.878836290967307
15419.231897447486,-11.18868054098015,-12.505944238895442,-9.975822135704254
15506.242747080363,-11.307576927447258,-12.64795348423028,-10.074336339918366
15593.744599637652,-11.428520189320743,-12.792559803055948,-10.174413784700972
15681.740225852805,-11.551559285939106,-12.939825059997702,-10.276090304678897
15770.232412094547,-11.676744441948989,-13.089812364958364,-10.37940271302657
15859.2239604551,-11.804127164653812,-13.24258603551405,-10.484388826630799
15948.717688838919,-11.93376025898876,-13.398211548323374,-10.591087491328233
16038.716431051915,-12.065697839674247,-13.556755477955457,-10.69953860712265
16129.223036891188,-12.199995340039266,-13.718285421330888,-10.809783153274058
16220.240372235265,-12.336709516936676,-13.88286990573005,-10.921863213135136
16311.771319134852,-12.475898451094544,-14.050578278052694,-11.035821998591231
16403.81877590409,-12.61762154215917,-14.221480572704742,-11.15170387393882
16496.385657212322,-12.761939497585766,-14.395647355140083,-11.269554379013337
16589.474894176405,-12.908914314419905,-14.573149537690535,-11.389420251349343
16683.089434453508,-13.05860925288494,-14.754058163868097,-11.511349447125758
16777.23224233445,-13.211088800546307,-14.938444156815704,-11.635391160613388
16871.906298837566,-13.366418625660069,-15.12637802700498,-11.761595841802986
16967.11460180311,-13.52466551812791,-15.31792953362361,-11.89001521184726
17062.860165988164,-13.685897316271008,-15.513167293350426,-12.020702275900225
17159.146023162113,-13.850182817398187,-15.71215832936936,-12.153711332880311
17255.975222202636,-14.017591669874035,-15.914967552511634,-12.28909798161973
17353.35082919226,-14.188194244088136,-16.121657165321245,-12.426919122789952
17451.275927515435,-14.36206147938043,-16.332285978594552,-12.567232955911571
17549.75361795618,-14.53926470358538,-16.546908628529618,-12.71009897066426
17648.787018796258,-14.719875421412477,-16.765574681009934,-12.855577931607936
17748.37926591392,-14.903965067375147,-16.988327607714993,-13.003731855308441
17848.533512883212,-15.091604718406353,-17.21520361666373,-13.154623978727216
17949.252931073814,-15.282864760647172,-17.446230317423403,-13.308318717583573
18050.540709751473,-15.477814504154164,-17.68142519851368,-13.464881613227101
18152.400056178987,-15.676521738429095,-17.920793891460743,-13.624379266364864
18254.834195717773,-15.879052220717814,-18.164328192456995,-13.786879255768357
18357.846371929976,-16.08546908793579,-18.412003808600314,-13.952450039838071
18461.439846681198,-16.295832181839707,-18.663777791160474,-14.121160838622385
18565.617900243768,-16.510197275654946,-18.919585613174444,-14.293081493569353
18670.38383140062,-16.728615188764838,-19.179337842828204,-14.468282301929364
18775.74095754975,-16.951130774241467,-19.44291635745068,-14.646833822317936
18881.692614809257,-17.177781761919064,-19.710170035427538,-14.828806647483628
18988.242158122976,-17.408597437344312,-19.98090985483295,-15.014271139800321
19095.39296136672,-17.643597134242793,-20.254903317961425,-15.203297124405365
19203.148417455115,-17.882788515072885,-20.531868110099566,-15.39595353422683
19311.511938449024,-18.1261656107459,-20.811464888685904,-15.592308000372967
19420.4869556636,-18.373706586616326,-21.0932890853433,-15.79242638048145
19530.076919776937,-18.62537119732449,-21.376861588020926,-15.996372216631382
19640.28530093933,-18.881097887931876,-21.6616181535578,-16.204206113290066
19751.115588883164,-19.140800492946465,-21.946897382321428,-16.41598502448095
19862.571293033405,-19.4043644782019,-22.231927066187133,-16.631761437896518
19974.65594261874,-19.671642663029612,-22.51580869910728,-16.85158244201662
20087.37308678332,-19.942450351641952,-22.797499916116447,-17.075488660399806
20200.72629469914,-20.2165597930078,-23.075794602295943,-17.3035130351624
20314.719155679064,-20.493693877629894,-23.349300388752543,-17.53567943920934
20429.35527929048,-20.773518967397766,-23.61641322930075,-17.772001093993392
20544.638295469595,-21.055636740964687,-23.87528873117825,-18.012478766407593
20660.57185463637,-21.339574921765518,-24.123809898633265,-18.257098714808365
20777.15962781012,-21.624776738753802,-24.359550943811207,-18.505830350064514
20894.405306725745,-21.9105889511257,-24.579736831161718,-18.75862357286495
21012.31260395064,-22.196248247710436,-24.781198258396497,-19.01540574322156
21130.885253002245,-22.480865809425346,-24.960321851417408,-19.276078232091642
21250.127008466272,-22.7634097994473,-25.132674185159022,-19.540512498227205
21370.041646115587,-23.042685520978466,-25.308334312508407,-19.808545625635944
21490.632963029777,-23.317312957433973,-25.455962900031437,-20.079975248306713
21611.904777715376,-23.585701385756426,-25.570636835935556,-20.35455377899451
21733.860930226783,-23.846020732225536,-25.646776396166274,-20.63198184775943
21856.505282287853,-24.096169324377705,-25.678074521055642,-20.911900843489086
21979.84171741418,-24.33373768661096,-25.657424552474065,-21.193884437689302
22103.87414103607,-24.555968036750336,-25.57684945875646,-21.477428954297583
22228.606480622202,-24.759709174969554,-25.638431236446458,-21.761942432078705
22354.04268580399,-24.941366527416406,-25.685256663612158,-22.046732207265833
22480.186728500656,-25.096847232240684,-25.683177229943688,-22.33099082354371
22607.04260304499,-25.221500360137195,-25.624655677188123,-22.61378005437685
22734.61432630983,-25.31005267925824,-25.619285632814538,-22.259895387178638
22862.905937835272,-25.356540852446475,-25.667936280618456,-21.390146422860703
22991.921499956556,-25.354241656732096,-25.667162663961143,-20.35978488361222
23121.665097932717,-25.29560282498363,-25.60926932551219,-19.156031833424205
23252.140840075943,-25.17217853544868,-25.52385908560531,-17.767974758005902
23383.35285788166,-24.974575549342713,-25.462008956681135,-16.18775292336114
23515.30530615935,-24.692418671574902,-25.335169657988047,-14.388772508601484
23648.002363164123,-24.314347737924805,-25.272366845249657,-12.38446753799789
23781.44823072902,-23.82806282461641,-25.427232148242137,-10.198274053410355
23915.647134398052,-23.22043981933765,-25.55065466157739,-7.849532738335591
24050.60332356001,-22.4777446006663,-25.637280848668013,-5.366463656744165
24186.32107158303,-21.585980055483862,-25.68105756363179,-2.7855670062832107
24322.804675949883,-20.53140440043757,-25.67516120210422,-0.14993551773660652
24460.058458394084,-19.301258936304755,-25.611927432298813,2.493425282699325
24598.086765036714,-17.884734152493827,-25.482785594686966,5.0969154156034
24736.893966524058,-16.27417943888725,-25.27820387993557,7.615759660976431
24876.48445816599,-14.4665179698008,-25.120877133413305,10.010959591438445
25016.862660075152,-12.464762018574696,-24.89517238648087,12.251347881805291
25158.03301730692,-10.27944042031818,-24.581767821364583,14.314557888421275
25300.000000000153,-7.929667962503368,-24.169129975033822,16.18697199139313
25442.768103518734,-5.443540396022623,-23.644836842813618,17.862888123684208
25586.34184859393,-2.8575705085316665,-22.995721785480477,19.343213921091188
25730.72578146752,-0.21501924169074704,-22.208124307307397,20.63397792808999
25875.92447403577,2.436790150628797,-21.268282467976,21.744876239803762
26021.942523994196,5.0498232160917995,-20.16290458342681,22.68798875803681
26168.784554983136,7.578806596655279,-18.879955124092895,23.476726343788783
26316.455216734175,9.98424081941914,-17.409676770408964,24.125018465113264
26464.95918521737,12.234509029052395,-15.745841931275054,24.646720408765013
26614.30116278931,14.306884372974311,-13.887177909863635,25.055205029981263
26764.485878342028,16.18749568674561,-11.838839770695985,25.36310069750531
26915.51808745273,17.870493036641367,-9.613722589430994,25.582139789668286
27067.402572534378,19.35672817619053,-7.233332873220673,25.792256744729332
27220.144142987134,20.652245694415832,-4.727913769458335,25.977665136186168
27373.74763535064,21.766808423716615,-2.1355789381653243,26.088092224054925
27528.21791345717,22.712594602537482,0.4996259191857726,26.133116872342566
27683.55986858565,23.503129643692603,3.1305730150200644,26.121343265679428
27839.778419616523,24.15246242482126,5.710409510310193,26.060458377813493
27996.87851318752,24.674564771994895,8.195869288319544,25.978126245298785
28154.865123850283,25.08291841151361,10.550000620371598,26.060515007156244
28313.743254227895,25.390250303455957,12.743939621773773,26.081995538852578
28473.517935173277,25.60838005552671,14.757609149746274,26.050621719490803
28634.194225928495,25.7481486355448,16.579456385063644,26.08097786632004
28795.777214284957,25.81940378720379,18.205490547723333,26.14363138631345
28958.272016744522,25.831023321647148,19.637927000372517,26.146872425170436
29121.683778681512,25.790962348955343,20.883708778362564,26.09869497837586
29286.01767450563,25.706314425991163,21.95310092705102,26.006215973131287
29451.27890782582,25.583379603153283,22.858471456642583,25.90272349226261
29617.472711615035,25.427734594985946,22.65033079474719,25.824976370184682
29784.604348375928,25.24430193360705,22.358071033532312,25.708312364805927
29952.679110307505,25.037416131074608,22.06477700759101,25.668944664818564
30121.70231947269,24.810885695120604,21.771381598050148,25.886029505721382
30291.679327966853,24.568050405492905,21.478684449875377,26.024669043975837
30462.61551808728,24.311833636797008,21.18736847505723,26.09473056504383
30634.516302503605,24.044789761440907,20.898014387980812,26.105102769880883
30807.3871244292,23.769146822076074,20.611113498307763,26.063745987298283
30981.23345779353,23.48684475501839,20.327078963554303,25.977755491403006
31156.060807415488,23.19956949472397,20.04625568197164,25.85343108571388
31331.874709177715,22.908783308812406,19.768928986484415,25.69634833019202
31508.680730201868,22.61575171344506,19.49533228236787,25.524413853551447
31686.484469024927,22.32156730710316,19.225653755009912,25.36549185545862
31865.291555776454,22.027170841817984,18.96004225943603,25.1797660408157
32045.107652356885,21.733369827988767,18.69861249016113,24.971419937483837
32225.938452616796,21.440854944311802,18.441449518256864,24.744130736738864
32407.789682537215,21.150214499492893,18.18861277215822,24.501124387607263
32590.667100410927,20.86194716826387,17.940139529553957,24.245225882325126
32774.576497024806,20.57647320133321,17.696047979594322,23.978904791191745
32959.52369584318,20.294144287593458,17.456339907492268,23.70431624468495
33145.51455319224,20.015252227325227,17.22100304728767,23.423337642515882
33332.55495844547,19.74003655731877,16.990013142992783,23.137601411656174
33520.650834210144,19.468691252738896,16.763335753454374,22.84852415128053
33709.80813651484,19.20137061610691,16.54092783197613,22.55733250118814
33900.03285499806,18.938194450855462,16.322739107975075,22.26508605798346
34091.33101309789,18.67925260540935,16.10871329463378,21.972697644525823
34283.708668242725,18.424608963531426,15.898789143603842,21.68095121590854
34477.171912043064,18.174304947626048,15.692901365263221,21.390517661529437
34671.726870484425,17.928362593694626,15.49098143079041,21.10196873899397
34867.37970412131,17.6867872495776,15.292958270351537,20.81578935250143
35064.13660827229,17.449569941894072,15.098758879970793,20.532388366513526
35262.00381321614,17.216689451608286,14.908308848138505,20.25210812518164
35460.98758438918,16.988114133328867,14.721532811881005,19.975232829339888
35661.09422258361,16.763803509204333,14.538354850847657,19.701995905885454
35862.33006414708,16.54370966454896,14.358698826943547,19.432586489025017
36064.70148118327,16.327778469056387,14.182488676134847,19.16715511908637
36268.214881753716,16.11595064457847,14.009648658260742,18.90581875227435
36472.87671008069,15.908162697918556,13.840103569989251,18.648665163774638
36678.69344675125,15.704347734865916,13.673778925441015,18.39575681685956
36885.67160892248,15.504436169747173,13.510601108466522,18.147134262010606
37093.817750527814,15.308356343056227,13.350497500087554,17.90281912242947
37303.1384624846,15.116035058217836,13.193396584196112,17.662816715559977
37513.64037290278,14.927398047217062,13.039228034236736,17.42711835429024
37725.33014729477,14.742370373663507,12.887922783273916,17.195703366256197
37938.214488786536,14.560876780837084,12.739413079561263,16.96854086504929
38152.300138329825,14.382841991362834,12.593632529477741,16.74559130306427
38367.593874915634,14.208190964372136,12.450516129474313,16.52680783214733
38584.102515788865,14.036849115311577,12.310000288479113,16.312137495060032
38801.83291666419,13.868742502949198,12.172022842036812,16.101522268010083
39020.79197194312,13.703797987588509,12.036523059305628,15.894899972069478
39240.98661493235,13.541943364026578,11.903441643901184,15.692205069165384
39462.42381806325,13.383107472374244,11.772720729458037,15.493369356451046
39685.11059311272,13.227220289488427,11.64430387067477,15.298322571214248
39909.05399142512,13.074213003441896,11.518136030516484,15.106992917030095
40134.26110413565,12.924018073169604,11.394163564166586,14.919307520589003
40360.73906239482,12.776569275178163,11.272334200247911,14.735192827509362
40588.495037594286,12.631801738982658,11.152597019769408,14.554574944457661
40817.536241593916,12.489651972738116,11.034902433198273,14.377379934030444
41047.869926950174,12.3500578803596,10.919202156007913,14.203534068088718
41279.50338714575,12.212958771271891,10.805449183008035,14.032964044562892
41512.44395682052,12.078295363793966,10.693597761724341,13.865597172153779
41746.69901200379,11.946009783044406,10.583603365061093,13.701361526833994
41982.27597034785,11.816045554148147,10.475422663449592,13.540186083593925
42219.18229136288,11.68834759143132,10.369013496658676,13.382000826471804
42457.42547665312,11.562862184208822,10.264334845419892,13.22673683954971
42697.01307015444,11.439536979696262,10.161346802999159,13.074326381282683
42937.95265837318,11.31832096351314,10.060010546828382,12.924702944249988
43180.2518706264,11.199164438187285,9.96028831029398,12.777801302172342
43423.918379283474,11.082019000020425,9.862143354765534,12.633557545822258
43668.95990000901,10.966837514629502,9.765539941934643,12.491909109263629
43915.384192007165,10.853574091439654,9.670443306523364,12.352794787687717
44163.19905826735,10.742184057369299,9.57681962941175,12.216154747963301
44412.412345811324,10.632623929917369,9.484636011225316,12.08193053288702
