Frequency,Nominal,Min,Max
14412.412345810739,-67.78290771967812,-71.8219676865459,-63.618136063924815
14493.741704614658,-67.40604498315295,-71.47603398760616,-63.20461029995809
14575.53000564454,-67.02614960251934,-71.12772502780223,-62.78719213217464
14657.779838715054,-66.64315394027376,-70.77699237606228,-62.36578555334111
14740.493808255222,-66.2569882640051,-70.42378625856664,-61.940291194436526
14823.674533390873,-65.867580659195,-70.0680555090686,-61.51060616499224
14907.324648027588,-65.47485693739316,-69.70974751687923,-61.07662388371246
14991.446800934098,-65.078740539468,-69.34880817238215,-60.638233898647435
15076.043655826155,-64.67915243360927,-68.9851818099351,-60.19532169612618
15161.117891450884,-64.27601100773417,-68.61881114800573,-59.74776849758385
15246.672201671598,-63.86923195592128,-68.24963722637752,-59.295451043339014
15332.709295553104,-63.45872815846609,-67.87759934025098,-58.838241362288066
15419.231897447486,-63.04440955511951,-67.50263497105291,-58.37600652638635
15506.242747080363,-62.626183011034286,-67.12467971375219,-57.90860838867664
15593.744599637652,-62.203952174905396,-66.7436672004673,-57.435903303505356
15681.740225852805,-61.777617328747,-66.35952902013364,-56.957741827431775
15770.232412094547,-61.34707522870089,-65.97219463398275,-56.473968399185914
15859.2239604551,-60.912218936219766,-65.58159128656597,-55.98442099686292
15948.717688838919,-60.47293763891078,-65.18764391203548,-55.48893077035386
16038.716431051915,-60.02911646026184,-64.79027503537338,-54.98732164680316
16129.223036891188,-59.58063625740315,-64.38940466823533,-54.47940990664614
16220.240372235265,-59.127373405979704,-63.984950199049266,-53.96500372751491
16311.771319134852,-58.66919957112475,-63.57682627698136,-53.443902693001874
16403.81877590409,-58.205981463430234,-63.164944689349554,-52.91589726293211
16496.385657212322,-57.73758057870524,-62.74921423203161,-52.380768201415265
16589.474894176405,-57.2638529201968,-62.32954057237652,-51.8382859585142
16683.089434453508,-56.78464870181878,-61.90582610408772,-51.288210000879026
16777.23224233445,-56.29981203078956,-61.47796979350139,-50.73028808613731
16871.906298837566,-55.80918056791866,-61.04586701663335,-50.164255475196946
16967.11460180311,-55.3125851636029,-60.60940938631454,-49.589834075896135
17062.860165988164,-54.80984946739146,-60.16848456867439,-49.00673151060733
17159.146023162113,-54.30078950875323,-59.72297608816572,-48.41464009945742
17255.975222202636,-53.78521324642775,-59.27276312025243,-47.813235749742084
17353.35082919226,-53.26292008345516,-58.81772027079968,-47.202176740867344
17451.275927515435,-52.73370034466092,-58.357717341118274,-46.58110239272084
17549.75361795618,-52.197334713008836,-57.89261907751513,-45.94963160372656
17648.787018796258,-51.65359362082676,-57.4222849040929,-45.30736124293852
17748.37926591392,-51.10223659144677,-56.94656863741925,-44.65386437833669
17848.533512883212,-50.54301152627595,-56.46531818155097,-43.98868832096008
17949.252931073814,-49.97565393171752,-55.97837520174666,-43.311352461592975
18050.540709751473,-49.39988607968283,-55.48557477503316,-42.6213458733546
18152.400056178987,-48.8154160946598,-54.986745015601244,-41.91812464966504
18254.834195717773,-48.22193695941984,-54.48170667279568,-41.20110894260931
18357.846371929976,-47.61912543043326,-53.97027269922652,-40.46967966163142
18461.439846681198,-47.00664085290398,-53.45224778626243,-39.72317478670922
18565.617900243768,-46.38412386400519,-52.92742786386662,-38.9608852436636
18670.38383140062,-45.75119497136985,-52.39559956139768,-38.18205028206276
18775.74095754975,-45.10745299213369,-51.856539625615675,-37.385852288413204
18881.692614809257,-44.45247333580685,-51.31001429170176,-36.571410959256355
18988.242158122976,-43.7858061119228,-50.755778602609766,-35.73777675096863
19095.39296136672,-43.10697404073369,-50.19357567151252,-34.883923516505405
19203.148417455115,-42.41547014213853,-49.62313588147353,-34.008740235819204
19311.511938449024,-41.71075517448899,-49.044176015755056,-33.11102174928112
19420.4869556636,-40.99225479086022,-48.456398311351464,-32.189458417326534
19530.076919776937,-40.259356375747274,-47.859489427399225,-31.24262466344256
19640.28530093933,-39.511405519903164,-47.25311931903973,-30.268966426122986
19751.115588883164,-38.747702085153314,-46.63694000607986,-29.266787673041573
19862.571293033405,-37.96749580452345,-46.010584224382576,-28.234236358665903
19974.65594261874,-37.16998135600421,-45.37366394629469,-27.169290604550635
20087.37308678332,-36.35429284099453,-44.72576875455264,-26.069746568109302
20200.72629469914,-35.51949759138991,-44.06646405195745,-24.933210643461617
20314.719155679064,-34.66458922329431,-43.39528908663755,-23.75710065570454
20429.35527929048,-33.78847985196763,-42.711754769872684,-22.538664170033975
20544.638295469595,-32.889991384499744,-42.015341260185444,-21.275027980823825
20660.57185463637,-31.96784581824049,-41.3054952836589,-19.96330306220295
20777.15962781012,-31.02065450160594,-40.581627156161765,-18.600786768097088
20894.405306725745,-30.04690637183957,-39.84310746830311,-17.185333733077115
21012.31260395064,-29.044955292195638,-39.08926338846895,-15.716015815339745
21130.885253002245,-28.013006803225053,-38.31937453321393,-14.194267107896554
21250.127008466272,-26.949104937206727,-37.53266834765788,-12.625810809112197
21370.041646115587,-25.85112031901611,-36.72831493154426,-11.023744967494181
21490.632963029777,-24.716741757097505,-35.90542123961586,-9.413040222220172
21611.904777715376,-23.543475199124227,-35.06302457862788,-7.835880551227083
21733.860930226783,-22.32865677730194,-34.200085318843634,-6.354941291040063
21856.505282287853,-21.06949154004356,-33.315478737292345,-5.0479690966846515
21979.84171741418,-19.763137804537436,-32.40798591687606,-3.536171483073623
22103.87414103607,-18.40687131244766,-31.476283645378572,-2.2031827099270416
22228.606480622202,-16.998387522335086,-30.5189333011948,-1.1940633065869681
22354.04268580399,-15.53634045236631,-29.534368794198564,-0.5311275416380543
22480.186728500656,-14.021279865296473,-28.5208837773432,-0.15537417034315415
22607.04260304499,-12.457238232021869,-27.476618602088053,1.3228456855722002
22734.61432630983,-10.85431114134101,-26.399547933856404,2.5854455930695197
22862.905937835272,-9.232554079245629,-25.287470699871978,3.4997211359392995
