Frequency,Nominal,Min,Max
14412.412345810739,3.716636347952369e-7,3.263456761221968e-7,4.290499728518725e-7
14493.741704614658,3.762649324725918e-7,3.2995226961068326e-7,4.351071237656153e-7
14575.53000564454,3.809735009490986e-7,3.3363260065978373e-7,4.4132808075402965e-7
14657.779838715054,3.8579319173326763e-7,3.3738898995860457e-7,4.477196600704863e-7
14740.493808255222,3.9072804362706686e-7,3.412238573945723e-7,4.5428906147103323e-7
14823.674533390873,3.957822942080099e-7,3.4513972739306235e-7,4.6104389544711756e-7
14907.324648027588,4.0096039216370236e-7,3.491392346047664e-7,4.679922128024216e-7
14991.446800934098,4.062670105533813e-7,3.5322512996744515e-7,4.751425368116394e-7
15076.043655826155,4.117070610784873e-7,3.5740028717106417e-7,4.825038982268722e-7
15161.117891450884,4.1728570945270115e-7,3.6166770955790877e-7,4.900858734288837e-7
15246.672201671598,4.2300839197121715e-7,3.660305374921064e-7,4.978986260562969e-7
15332.709295553104,4.2888083338947445e-7,3.704920562361556e-7,5.059529524865499e-7
15419.231897447486,4.3490906623326554e-7,3.750557043755045e-7,5.142603315888311e-7
15506.242747080363,4.4109945167522864e-7,3.79725082836073e-7,5.22832979222177e-7
15593.744599637652,4.4745870212744226e-7,3.8450396454384255e-7,5.316839080124547e-7
15681.740225852805,4.539939057163447e-7,3.893963047803362e-7,5.408269930112986e-7
15770.232412094547,4.607125528247967e-7,3.9440625229301157e-7,5.502770439196749e-7
15859.2239604551,4.676225649070517e-7,3.9953816122536475e-7,5.600498846502874e-7
15948.717688838919,4.7473232580604283e-7,4.047966039379603e-7,5.701624411085487e-7
16038.716431051915,4.820507158291331e-7,4.101863847987352e-7,5.806328381936819e-7
16129.223036891188,4.895871488687551e-7,4.157125550288786e-7,5.914805071625934e-7
16220.240372235265,4.973516128887076e-7,4.213804286994496e-7,6.027263046627789e-7
16311.771319134852,5.053547141359038e-7,4.2719559998379667e-7,6.143926449308402e-7
16403.81877590409,5.136077254817908e-7,4.3316396178190974e-7,6.265036468750175e-7
16496.385657212322,5.22122639348321e-7,4.392917258452295e-7,6.390852980193693e-7
16589.474894176405,5.309122257312383e-7,4.455854445443367e-7,6.521656375909507e-7
16683.089434453508,5.399900958996798e-7,4.52052034437538e-7,6.657749613880758e-7
16777.23224233445,5.493707724271065e-7,4.5869880181592173e-7,6.799460514879623e-7
16871.906298837566,5.590697662958818e-7,4.655334704202035e-7,6.947144343483611e-7
16967.11460180311,5.691036619183895e-7,4.725642115469695e-7,7.101186714456521e-7
17062.860165988164,5.794902110336514e-7,4.797996767871003e-7,7.262006872903274e-7
17159.146023162113,5.902484365726359e-7,4.872490336676402e-7,7.430061404930755e-7
17255.975222202636,6.013987477410531e-7,4.949220045006506e-7,7.605848445495798e-7
17353.35082919226,6.129630677492419e-7,5.028289087792441e-7,7.78991246205347e-7
17451.275927515435,6.249649758293196e-7,5.109807095026617e-7,7.982849706975398e-7
