Frequency,Nominal,Min,Max
14412.412345810739,-380.65452663482705,-383.8234866033261,-377.9208285085229
14493.741704614658,-380.87436440595656,-384.09858812783665,-378.09683828929764
14575.53000564454,-381.09833721374287,-384.37947891616056,-378.275802375963
14657.779838715054,-381.3265695830531,-384.6663541120706,-378.4578002183228
14740.493808255222,-381.55919119431167,-384.95941790536415,-378.64291421153786
14823.674533390873,-381.7963371552279,-385.25888406750033,-378.8312298349549
14907.324648027588,-382.03814829003784,-385.56497652617037,-379.0228357989268
14991.446800934098,-382.28477144760456,-385.87792998217947,-379.2178242001675
15076.043655826155,-382.53635982984133,-386.19799057236867,-379.4162906862359
15161.117891450884,-382.79307334205606,-386.5254165826842,-379.61833462978393
15246.672201671598,-383.05507896695843,-386.8604792159358,-379.82405931325945
15332.709295553104,-383.3225511642392,-387.20346341926694,-380.0335721248122
15419.231897447486,-383.5956722978051,-387.55466877690066,-380.24698476620995
15506.242747080363,-383.8746330929545,-387.9144104743349,-380.4644134736436
15593.744599637652,-384.15963312600155,-388.28302034084624,-380.6859792523741
15681.740225852805,-384.4508813490978,-388.66084797793854,-380.9118081262548
15770.232412094547,-384.74859665327836,-389.0482619822437,-381.14203140325475
15859.2239604551,-385.0530084730603,-389.4456512723792,-381.3767859582088
15948.717688838919,-385.3643574362652,-389.8534265303909,-381.61621453412783
16038.716431051915,-385.6828960631157,-390.27202176969007,-381.86046606352534
16129.223036891188,-386.00888951908104,-390.7018960428567,-382.10969601135076
16220.240372235265,-386.34261642642787,-391.1435353043461,-382.36406674126516
16311.771319134852,-386.68436973996677,-391.59745444504955,-382.6237479071631
16403.81877590409,-387.0344576930894,-392.0641995178483,-382.8889168720226
16496.385657212322,-387.39320482087396,-392.54435017582387,-383.15975915636864
16589.474894176405,-387.7609530678047,-393.0385223476955,-383.4364689188604
16683.089434453508,-388.1380629885232,-393.54737117841705,-383.7192494717624
16777.23224233445,-388.52491505101705,-394.0715942667645,-384.00831383433695
16871.906298837566,-388.9219110527717,-394.61193523627645,-384.3038853275118
16967.11460180311,-389.32947566169264,-395.1691876811944,-384.6061982135178
17062.860165988164,-389.7480580950597,-395.744199535227,-384.9154983845909
17159.146023162113,-390.1781339514459,-396.3378779182119,-385.23204410526523
17255.975222202636,-390.62020721244176,-396.951194524275,-385.55610681327994
17353.35082919226,-391.0748124332283,-397.5851916251624,-385.88797198467887
17451.275927515435,-391.5425171435651,-398.2409887743459,-386.2279400693075
17549.75361795618,-392.0239244836903,-398.9197903116978,-386.5763275036242
17648.787018796258,-392.5196761030104,-399.6228937854586,-386.93346780854347
17748.37926591392,-393.03045535338896,-400.35169942851667,-387.2997127809456
17848.533512883212,-393.556990813424,-401.1077208504235,-387.67543378852105
17949.252931073814,-394.1000601854513,-401.8925971360558,-388.06102317880874
18050.540709751473,-394.660494613277,-402.70810657760944,-388.45689581463466
18152.400056178987,-395.23918347601614,-403.5561823102092,-388.86349074971355
18254.834195717773,-395.8370797220983,-404.4389301747978,-389.2812730599544
18357.846371929976,-396.4552058177978,-405.3586491976434,-389.7107358480632
18461.439846681198,-397.0946603968635,-406.3178551570058,-390.1524024414018
18565.617900243768,-397.7566257124032,-407.3193078084252,-390.6068288058026
18670.38383140062,-398.4423760096268,-408.36604246618487,-391.07460620122026
18775.74095754975,-399.1532869590358,-409.46140679690933,-391.55636410880004
18881.692614809257,-399.8908463149685,-410.6091038813775,-392.0527734632696
18988.242158122976,-400.65666599513037,-411.8132428549002,-392.5645502296207
19095.39296136672,-401.45249581414873,-413.07839876157055,-393.09245936899913
19203.148417455115,-402.2802391499926,-414.40968367544696,-393.6373192457368
19311.511938449024,-403.1419708784387,-415.81283168194193,-394.20000653576307
19420.4869556636,-404.03995798043377,-417.294301015343,-394.7814617064898
19530.076919776937,-404.97668331381306,-418.86139756747093,-395.382695150026
19640.28530093933,-405.9548731491226,-420.52242519104465,-396.0047940656431
19751.115588883164,-406.9775292054414,-422.28686981802355,-396.6489302043314
19862.571293033405,-408.04796609433794,-424.2125694652831,-397.31636860870026
19974.65594261874,-409.1698552993171,-426.30509914716794,-398.00847750623456
20087.37308678332,-410.347277098934,-428.5579690958141,-398.72673954407736
20200.72629469914,-411.58478220384814,-430.9929726591603,-399.47276459043115
20314.719155679064,-412.88746534812515,-433.6363369834235,-400.24830437309635
20429.35527929048,-414.2610536894446,-436.51991101929264,-401.0552692818564
20544.638295469595,-415.71201368140106,-439.6827273607993,-401.8957477313035
20660.57185463637,-417.24768115255966,-443.17305577144316,-402.7720285681158
20777.15962781012,-418.87642075651416,-447.0536546351524,-403.6866271167984
20894.405306725745,-420.6078228770539,-451.40021548282505,-404.6423155971819
21012.31260395064,-422.45294866627756,-456.3106723389892,-405.6421588244674
21130.885253002245,-424.42463741551285,-461.90004479732664,-406.68955633032596
21250.127008466272,-426.5378952588624,-468.3159942906704,-407.78829233775724
21370.041646115587,-428.8103907591682,-475.7347759340746,-408.94259540523785
21490.632963029777,-431.2630918413114,-484.35031805224884,-410.1572100575973
21611.904777715376,-433.92109056326035,-494.339717850892,-411.43748338416793
21733.860930226783,-436.814678108347,-505.78985404785095,-412.7894704678119
21856.505282287853,-439.98075251294597,-518.5876992965054,-414.2200636939495
21979.84171741418,-443.464664891467,-532.3330471680555,-415.73715259340656
22103.87414103607,-447.3226308779068,-546.3850917224939,-417.3498230629119
22228.606480622202,-451.62483624195914,-560.0787691366278,-419.0686078201466
22354.04268580399,-456.4593061874789,-572.9617272442874,-420.90580412784436
22480.186728500656,-461.9363834054588,-584.8768714728524,-422.87588065429094
22607.04260304499,-468.1930406676181,-595.8920348123823,-424.95332831516083
22734.61432630983,-475.3947824520613,-606.1871122248764,-427.1342561217801
22862.905937835272,-483.7298498801814,-615.971258398739,-429.48387027347013
22991.921499956556,-493.385418338705,-625.4405872137687,-432.02500927130495
23121.665097932717,-504.4910130413388,-634.7622931314611,-434.78511889023696
23252.140840075943,-517.0220119598048,-644.0713066422162,-437.79747418018775
23383.35285788166,-530.6963176389153,-653.4713895340722,-441.1027799882884
23515.30530615935,-544.9598975524399,-663.0370185821329,-444.7512646922311
23648.002363164123,-559.142128018045,-672.814856322489,-448.80539513448326
23781.44823072902,-572.7020972077042,-682.8248085812747,-453.3433179894316
23915.647134398052,-585.3766441312968,-693.0955922155138,-458.4630069042125
24050.60332356001,-597.1592770338873,-703.6127614082764,-464.2867114794234
24186.32107158303,-608.1947374162818,-714.3123232406836,-470.96433898879894
24322.804675949883,-618.6827680097592,-725.1964718253815,-478.672270164852
24460.058458394084,-628.8215935877561,-736.1041587479835,-487.6001347774094
24598.086765036714,-638.7830937473175,-746.976904941325,-497.91280803834684
24736.893966524058,-648.7049784986906,-757.7665943848375,-509.67443283918465
24876.48445816599,-658.6900079176264,-768.4436347717836,-522.7425842183212
25016.862660075152,-668.8073911828682,-779.0036799194951,-536.6967124960323
25158.03301730692,-679.0946264488733,-789.4728302062241,-550.9043362000571
