Frequency,Nominal,Min,Max
14412.412345810739,-6.643674802398182,-6.698983587712387,-6.595962769338575
14493.741704614658,-6.6475116953246385,-6.703785015092352,-6.599034719528808
14575.53000564454,-6.651420758255446,-6.708687484187126,-6.602158232083943
14657.779838715054,-6.6554041645595365,-6.713694400898061,-6.6053346936646475
14740.493808255222,-6.659464177587293,-6.718809329009417,-6.6085655423377645
14823.674533390873,-6.663603155413087,-6.724035999537005,-6.611852269999338
14907.324648027588,-6.667823555883505,-6.729378320756322,-6.615196424937105
14991.446800934098,-6.672127941994709,-6.734840388969175,-6.618599614541955
15076.043655826155,-6.676518987624506,-6.740426500073854,-6.622063508178712
15161.117891450884,-6.680999483647012,-6.746141162010528,-6.625589840227339
15246.672201671598,-6.6855723444603035,-6.751989108161171,-6.62918041330661
15332.709295553104,-6.6902406149603975,-6.757975311791629,-6.632837101693316
15419.231897447486,-6.695007477997901,-6.764105001632982,-6.6365618549510845
15506.242747080363,-6.69987626235724,-6.770383678709922,-6.640356701784157
15593.744599637652,-6.704850451302203,-6.776817134535882,-6.64422375413275
15681.740225852805,-6.7099336917358166,-6.783411470808173,-6.648165211528038
15770.232412094547,-6.7151298040273435,-6.790173120751633,-6.652183365726419
15859.2239604551,-6.720442792564525,-6.797108872276661,-6.656280605644421
15948.717688838919,-6.725876857095122,-6.804225893137135,-6.660459422617569
16038.716431051915,-6.731436404928445,-6.811531758296079,-6.664722416008587
16129.223036891188,-6.737126064074995,-6.819034479732453,-6.669072299192715
16220.240372235265,-6.742950697410695,-6.826742538951519,-6.673511905950422
16311.771319134852,-6.748915417961549,-6.8346649224946185,-6.678044197300759
16403.81877590409,-6.755025605415107,-6.842811160782418,-6.682672268811662
16496.385657212322,-6.76128692397702,-6.851191370669708,-6.687399358427123
16589.474894176405,-6.767705341704398,-6.859816302140599,-6.692228854855016
16683.089434453508,-6.774287151462872,-6.868697389631614,-6.697164306563765
16777.23224233445,-6.78103899367152,-6.8778468085382505,-6.7022094314408704
16871.906298837566,-6.787967881019392,-6.887277537539652,-6.707368127171808
16967.11460180311,-6.795081225359666,-6.897003427468258,-6.712644482403819
17062.860165988164,-6.802386867012931,-6.907039277559124,-6.7180427887660255
17159.146023162113,-6.809893106740203,-6.9174009200401265,-6.723567553824891
17255.975222202636,-6.81760874067961,-6.928105314173085,-6.729223515062677
17353.35082919226,-6.825543098579091,-6.939170651031668,-6.735015654976284
17451.275927515435,-6.833706085701554,-6.950616470510114,-6.7409492174047525
17549.75361795618,-6.842108228830007,-6.9624637923045025,-6.747029725206154
17648.787018796258,-6.850760726859236,-6.974735262903838,-6.753262999418571
17748.37926591392,-6.859675506529211,-6.987455320982316,-6.759655180055864
17848.533512883212,-6.8688652839353255,-7.0006503840102,-6.766212748706966
17949.252931073814,-6.878343632543939,-7.0143490594153075,-6.772942553128244
18050.540709751473,-6.888125058551029,-7.028582384251518,-6.779851834041955
18152.400056178987,-6.8982250845504485,-7.0433840980916465,-6.786948254381014
18254.834195717773,-6.908660342629895,-7.058790954793667,-6.7942399312513055
18357.846371929976,-6.919448678192349,-7.0748430799355475,-6.801735470918599
18461.439846681198,-6.930609266014001,-7.091584382131172,-6.809444007168425
18565.617900243768,-6.9421627403041715,-7.109063028201268,-6.817375243435086
18670.38383140062,-6.954131340837253,-7.12733199437391,-6.825539499151527
18775.74095754975,-6.96653907759292,-7.146449708453956,-6.833947760836313
18881.692614809257,-6.9794119167828335,-7.166480801393465,-6.842611738509507
18988.242158122976,-6.992777991678228,-7.187496991133021,-6.851543928117543
19095.39296136672,-7.006667842305649,-7.209578127255473,-6.860757680751066
19203.148417455115,-7.0211146888775655,-7.232813432284745,-6.8702672795621496
19311.511938449024,-7.0361547448078525,-7.257302984890877,-6.880088025432231
19420.4869556636,-7.051827576378108,-7.283159502526052,-6.890236332614158
19530.076919776937,-7.068176517632418,-7.310510497057335,-6.900729835776969
19640.28530093933,-7.085249150968111,-7.339500898055274,-6.911587510127574
19751.115588883164,-7.103097866266334,-7.3702962662651785,-6.9228298065787675
19862.571293033405,-7.121780514412384,-7.4039060655143505,-6.934478804289261
19974.65594261874,-7.141361174881851,-7.440427598158951,-6.946558383333583
20087.37308678332,-7.161911061969923,-7.479747596382062,-6.959094420786024
20200.72629469914,-7.183509600560913,-7.5222464258602475,-6.972115014147241
20314.719155679064,-7.206245710538779,-7.5683818366483955,-6.98565073683495
20429.35527929048,-7.2302193496618115,-7.618709697799333,-6.999734931440869
20544.638295469595,-7.255543378836162,-7.673911256594505,-7.014404047675777
20660.57185463637,-7.282345832423655,-7.734828979336141,-7.029698033450282
20777.15962781012,-7.310772701170289,-7.802558206457018,-7.045660789458755
20894.405306725745,-7.340991368849719,-7.878420004387182,-7.062340700064829
21012.31260395064,-7.3731948889851315,-7.964123644304376,-7.079791256384727
21130.885253002245,-7.407607349483816,-8.061676596822654,-7.098071791439136
21250.127008466272,-7.44449065679386,-8.173656040123165,-7.117248352379028
21370.041646115587,-7.4841531855109515,-8.303138206287084,-7.137394741472435
21490.632963029777,-7.5269608949615785,-8.453507783093471,-7.158593766299074
21611.904777715376,-7.573351724173389,-8.627855699877852,-7.180938751173192
21733.860930226783,-7.6238543540298505,-8.827698276316568,-7.204535377227215
21856.505282287853,-7.679112776753222,-9.0510628130663,-7.229503939280044
21979.84171741418,-7.739918518609401,-9.290964390256844,-7.255982135621027
22103.87414103607,-7.807252727502727,-9.536218834368734,-7.284128545063578
22228.606480622202,-7.882340376202401,-9.775218591951354,-7.314126998210416
22354.04268580399,-7.966717794340432,-10.000068628326511,-7.346192122785224
22480.186728500656,-8.062310825180152,-10.208027125964971,-7.38057644468797
22607.04260304499,-8.171510094573646,-10.400277993884743,-7.4168347464080036
22734.61432630983,-8.297204200590631,-10.579960991480462,-7.4548991173818075
22862.905937835272,-8.442678570587063,-10.75072655671077,-7.495907620480253
22991.921499956556,-8.611200031340013,-10.915997522487011,-7.5402588627433
23121.665097932717,-8.805029224293014,-11.078691982653384,-7.588431863309629
23252.140840075943,-9.023736413984095,-11.241164918528696,-7.641007381359139
23383.35285788166,-9.26239807100873,-11.405227314951974,-7.6986958504957865
23515.30530615935,-9.511344503621064,-11.572179036865043,-7.762373921288237
23648.002363164123,-9.758871120522521,-11.74283449916002,-7.833131845810872
23781.44823072902,-9.995537229351063,-11.917541124043275,-7.912333540831222
23915.647134398052,-10.21674980436627,-12.096800115220695,-8.001688969072003
24050.60332356001,-10.42239554307029,-12.280359345623715,-8.103331788572891
24186.32107158303,-10.615000661216467,-12.46710192811994,-8.219878374833243
24322.804675949883,-10.798051327122543,-12.6570661571992,-8.354407152372488
24460.058458394084,-10.975007215744006,-12.847441207775333,-8.510227785033901
24598.086765036714,-11.148868191966292,-13.03720642758282,-8.69021788811964
24736.893966524058,-11.322037748881172,-13.22552203363979,-8.895496966278483
24876.48445816599,-11.496309388150099,-13.411871542760409,-9.123579234993453
25016.862660075152,-11.672891037814743,-13.596179099747225,-9.367124717685158
25158.03301730692,-11.852437164133807,-13.778900242136753,-9.615094530204782
25300.000000000153,-12.035085718446856,-13.961091482336508,-9.85654328386128
25442.768103518734,-12.220508589490688,-14.144464708043767,-10.084359988758814
25586.34184859393,-12.407986180128894,-14.331421289895449,-10.296329831204474
25730.72578146752,-12.596512230208912,-14.525029192435687,-10.493831483276816
25875.92447403577,-12.784926596024052,-14.72884114015951,-10.679979055462288
26021.942523994196,-12.972064703811867,-14.946348276693918,-10.858294099846397
26168.784554983136,-13.15690659188066,-15.179786101248364,-11.03202882667268
26316.455216734175,-13.338708453044745,-15.428217190968521,-11.203906606256192
26464.95918521737,-13.51710539559625,-15.685701683581188,-11.37606055373891
26614.30116278931,-13.692183181054972,-15.941509891931677,-11.550044849383863
26764.485878342028,-13.864525283951114,-16.183553822353186,-11.726864385313114
