Reference, Value, Footprint, Datasheet
"J101","PWR","",""
"J102","UNMUTE","",""
"J103","SIG_OUT","",""
"C101","100uF/35V","",""
"C102","100uF/35V","",""
"MK101","~","",""
"MK102","~","",""
"MK103","~","",""
"MK104","~","",""
"R201","6.34k","",""
"R203","6.34k","",""
"C206","1nF","",""
"C201","1nF","",""
"Q201","2N3819","",""
"R204","4.7k","",""
"C209","0.47u","",""
"R202","4.7k","",""
"C208","1u","",""
"RV201","22k","",""
"RV202","22k","",""
"D202","1N4148","Diodes_THT:D_DO-35_SOD27_Horizontal_RM10",""
"D201","1N4148","Diodes_THT:D_DO-35_SOD27_Horizontal_RM10",""
"U201","TL061","",""
"U202","TL061","",""
"C202","100nF","",""
"C205","100nF","",""
"C203","100nF","",""
"C207","100nF","",""
"C204","4.7uF","",""
"U301","4066","",""
"R301","4.7k","",""
"R308","4.7k","",""
"C301","47uF / 63V","",""
"C302","47uF / 63V","",""
"C303","0.1uf","",""
"C307","0.1uf","",""
"R311","1k","",""
"R314","1k","",""
"D301","5.6V","",""
"D304","5.6V","",""
"R312","1k","",""
"Q302","BC546","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"Q303","BC546","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R303","10k","",""
"R304","10k","",""
"R306","100k","",""
"R305","100k","",""
"D303","1N4148","",""
"D302","5.6V","",""
"R309","100k","",""
"R310","100k","",""
"Q301","BC546","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"R302","10k","",""
"R307","10k","",""
"Q304","BC556","TO_SOT_Packages_THT:TO-92_Molded_Narrow",""
"C308","4.7uF","",""
"C309","4.7uF","",""
"U302","TL061","",""
"C304","100nF","",""
"C306","100nF","",""
"C305","4.7uF","",""
"R315","1k","",""
"R313","1k","",""
